symbol,asset_type,name,exchange,currency,active,sector,industry,source,notes
AAPL,STOCK,Apple Inc,NASDAQ,USD,true,Technology,Consumer Electronics,,
MSFT,STOCK,Microsoft Corp,NASDAQ,USD,true,Technology,Software,,
NVDA,STOCK,NVIDIA Corp,NASDAQ,USD,true,Technology,Semiconductors,,
AMZN,STOCK,Amazon.com Inc,NASDAQ,USD,true,Consumer Cyclical,Internet Retail,,
META,STOCK,Meta Platforms Inc,NASDAQ,USD,true,Communication Services,Internet Content,,
GOOGL,STOCK,Alphabet Inc,NASDAQ,USD,true,Communication Services,Internet Content,,
TSLA,STOCK,Tesla Inc,NASDAQ,USD,true,Consumer Cyclical,Auto Manufacturers,,
JPM,STOCK,JPMorgan Chase & Co,NYSE,USD,true,Financial Services,Banks,,
UNH,STOCK,UnitedHealth Group,NYSE,USD,true,Healthcare,Health Plans,,
V,STOCK,Visa Inc,NYSE,USD,true,Financial Services,Credit Services,,
SPY,ETF,SPDR S&P 500 ETF Trust,NYSEARCA,USD,true,,,,
QQQ,ETF,Invesco QQQ Trust,NASDAQ,USD,true,,,,
IWM,ETF,iShares Russell 2000 ETF,NYSEARCA,USD,true,,,,
DIA,ETF,SPDR Dow Jones Industrial Average ETF Trust,NYSEARCA,USD,true,,,,
XLF,ETF,Financial Select Sector SPDR Fund,NYSEARCA,USD,true,,,,
XLK,ETF,Technology Select Sector SPDR Fund,NYSEARCA,USD,true,,,,
XLV,ETF,Health Care Select Sector SPDR Fund,NYSEARCA,USD,true,,,,
XLY,ETF,Consumer Discretionary Select Sector SPDR,NYSEARCA,USD,true,,,,
